"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","320","testGetAllOrderServicesWithOrderStatus","rieaya Suite","Sun Aug 24 10:24:41 EEST 2025","passed","Sun Aug 24 10:24:41 EEST 2025","QueryTestOfOrders","test","QueryTestOfOrders","testGetAllOrderServicesWithOrderStatus"
"","267","testToggleRule","rieaya Suite","Sun Aug 24 10:24:22 EEST 2025","passed","Sun Aug 24 10:24:22 EEST 2025","Priviledge","test","Priviledge","testToggleRule"
"","389","testGetAllOrderServicesWithDeliveryStatus","rieaya Suite","Sun Aug 24 10:24:37 EEST 2025","passed","Sun Aug 24 10:24:37 EEST 2025","QueryTestOfOrders","test","QueryTestOfOrders","testGetAllOrderServicesWithDeliveryStatus"
"","379","testAssignPermissionToRole","rieaya Suite","Sun Aug 24 10:22:58 EEST 2025","passed","Sun Aug 24 10:22:59 EEST 2025","AssignPermissions","test","AssignPermissions","testAssignPermissionToRole"
"","948","testUploadLogo","rieaya Suite","Sun Aug 24 10:24:29 EEST 2025","failed","Sun Aug 24 10:24:30 EEST 2025","UploadImage","test","UploadImage","testUploadLogo"
"","339","testGetSpecificWorkingHoursCase","rieaya Suite","Sun Aug 24 10:24:32 EEST 2025","passed","Sun Aug 24 10:24:32 EEST 2025","WorkingHours","test","WorkingHours","testGetSpecificWorkingHoursCase"
"","350","testDeleteEmployee","rieaya Suite","Sun Aug 24 10:23:19 EEST 2025","passed","Sun Aug 24 10:23:19 EEST 2025","EmployeeTests","test","EmployeeTests","testDeleteEmployee"
"","770","testGetAllOrderServicesWithRankId","rieaya Suite","Sun Aug 24 10:24:33 EEST 2025","passed","Sun Aug 24 10:24:33 EEST 2025","QueryTestOfOrders","test","QueryTestOfOrders","testGetAllOrderServicesWithRankId"
"","319","testGetDiscountsByOrderBy","rieaya Suite","Sun Aug 24 10:23:09 EEST 2025","passed","Sun Aug 24 10:23:10 EEST 2025","DiscountOrAdditions","test","DiscountOrAdditions","testGetDiscountsByOrderBy"
"","355","testUpdatePackage","rieaya Suite","Sun Aug 24 10:24:17 EEST 2025","passed","Sun Aug 24 10:24:18 EEST 2025","NewPackageTest","test","NewPackageTest","testUpdatePackage"
"","320","testGetDiscountsByOrderBy","rieaya Suite","Sun Aug 24 10:23:10 EEST 2025","passed","Sun Aug 24 10:23:10 EEST 2025","DiscountOrAdditions","test","DiscountOrAdditions","testGetDiscountsByOrderBy"
"","312","testGetAllEditingRequests2","rieaya Suite","Sun Aug 24 10:22:55 EEST 2025","passed","Sun Aug 24 10:22:55 EEST 2025","AddingTests","test","AddingTests","testGetAllEditingRequests2"
"","349","testGetDiscountsByOrderBy","rieaya Suite","Sun Aug 24 10:23:08 EEST 2025","passed","Sun Aug 24 10:23:09 EEST 2025","DiscountOrAdditions","test","DiscountOrAdditions","testGetDiscountsByOrderBy"
"","451","testGetAllPackages","rieaya Suite","Sun Aug 24 10:24:16 EEST 2025","passed","Sun Aug 24 10:24:17 EEST 2025","NewPackageTest","test","NewPackageTest","testGetAllPackages"
"","1381","GetSpecificLaundry","rieaya Suite","Sun Aug 24 10:23:31 EEST 2025","passed","Sun Aug 24 10:23:32 EEST 2025","LaundryTests","test","LaundryTests","testGetSpecificLaundry"
"","319","testDeleteService","rieaya Suite","Sun Aug 24 10:24:29 EEST 2025","passed","Sun Aug 24 10:24:29 EEST 2025","TestService","test","TestService","testDeleteService"
"","427","testRemoveUserPermission","rieaya Suite","Sun Aug 24 10:22:58 EEST 2025","failed","Sun Aug 24 10:22:58 EEST 2025","AssignPermissions","test","AssignPermissions","testRemoveUserPermission"
"","475","testCreateOrderRule","rieaya Suite","Sun Aug 24 10:24:03 EEST 2025","passed","Sun Aug 24 10:24:04 EEST 2025","OrderRules","test","OrderRules","testCreateOrderRule"
"","281","testUpdateBranchStatus","rieaya Suite","Sun Aug 24 10:23:02 EEST 2025","passed","Sun Aug 24 10:23:02 EEST 2025","NewBranch","test","NewBranch","testUpdateBranchStatus"
"","720","testDeleteOrderRule","rieaya Suite","Sun Aug 24 10:24:06 EEST 2025","passed","Sun Aug 24 10:24:07 EEST 2025","OrderRules","test","OrderRules","testDeleteOrderRule"
"","590","createCatogry","rieaya Suite","Sun Aug 24 09:26:31 EEST 2025","passed","Sun Aug 24 09:26:32 EEST 2025","ServiceCategoryTests","test","ServiceCategoryTests","createCatogry"
"","264","testGetPaymentStatus","rieaya Suite","Sun Aug 24 10:24:14 EEST 2025","passed","Sun Aug 24 10:24:14 EEST 2025","NewOrderService","test","NewOrderService","testGetPaymentStatus"
"","346","testGetAllOrderServicesWithOrderStatus","rieaya Suite","Sun Aug 24 10:24:40 EEST 2025","passed","Sun Aug 24 10:24:40 EEST 2025","QueryTestOfOrders","test","QueryTestOfOrders","testGetAllOrderServicesWithOrderStatus"
"","677","testGetAllOrderServicesWithOrderStatus","rieaya Suite","Sun Aug 24 10:24:38 EEST 2025","passed","Sun Aug 24 10:24:39 EEST 2025","QueryTestOfOrders","test","QueryTestOfOrders","testGetAllOrderServicesWithOrderStatus"
"","315","testCreateService","rieaya Suite","Sun Aug 24 10:24:26 EEST 2025","passed","Sun Aug 24 10:24:27 EEST 2025","TestService","test","TestService","testCreateService"
"","418","testGetDriversWithStatus","rieaya Suite","Sun Aug 24 10:24:15 EEST 2025","passed","Sun Aug 24 10:24:16 EEST 2025","NewOrderService","test","NewOrderService","testGetDriversWithStatus"
"","1220","testCreateLaundry","rieaya Suite","Sun Aug 24 10:23:29 EEST 2025","failed","Sun Aug 24 10:23:30 EEST 2025","LaundryTests","test","LaundryTests","testCreateLaundry"
"","970","testGetAllOrderServicesWithDeliveryStatus","rieaya Suite","Sun Aug 24 10:24:35 EEST 2025","passed","Sun Aug 24 10:24:36 EEST 2025","QueryTestOfOrders","test","QueryTestOfOrders","testGetAllOrderServicesWithDeliveryStatus"
"","799","testGetAllOrderServices","rieaya Suite","Sun Aug 24 10:24:09 EEST 2025","passed","Sun Aug 24 10:24:09 EEST 2025","NewOrderService","test","NewOrderService","testGetAllOrderServices"
"","347","testGetAllOrderServicesWithDeliveryStatus","rieaya Suite","Sun Aug 24 10:24:36 EEST 2025","passed","Sun Aug 24 10:24:36 EEST 2025","QueryTestOfOrders","test","QueryTestOfOrders","testGetAllOrderServicesWithDeliveryStatus"
"","291","testGetBranchStatus","rieaya Suite","Sun Aug 24 10:23:02 EEST 2025","passed","Sun Aug 24 10:23:03 EEST 2025","NewBranch","test","NewBranch","testGetBranchStatus"
"","1012","testExportOrders","rieaya Suite","Sun Aug 24 10:24:12 EEST 2025","broken","Sun Aug 24 10:24:13 EEST 2025","NewOrderService","test","NewOrderService","testExportOrders"
"","1192","testUpdateAttachment","rieaya Suite","Sun Aug 24 10:23:20 EEST 2025","passed","Sun Aug 24 10:23:21 EEST 2025","GallaryAttachment","test","GallaryAttachment","testUpdateAttachment"
"","353","testGetAllOrderServicesWithDeliveryStatus","rieaya Suite","Sun Aug 24 10:24:36 EEST 2025","passed","Sun Aug 24 10:24:37 EEST 2025","QueryTestOfOrders","test","QueryTestOfOrders","testGetAllOrderServicesWithDeliveryStatus"
"","340","testGetUserPermission","rieaya Suite","Sun Aug 24 10:22:59 EEST 2025","passed","Sun Aug 24 10:23:00 EEST 2025","AssignPermissions","test","AssignPermissions","testGetUserPermission"
"","915","testUpdatePackageRequest","rieaya Suite","Sun Aug 24 10:22:51 EEST 2025","passed","Sun Aug 24 10:22:52 EEST 2025","AddingPackageRequest","test","AddingPackageRequest","testUpdatePackageRequest"
"","337","testGetDiscountById","rieaya Suite","Sun Aug 24 10:23:06 EEST 2025","passed","Sun Aug 24 10:23:06 EEST 2025","DiscountOrAdditions","test","DiscountOrAdditions","testGetDiscountById"
"","490","testGetAllOrderServicesWithOrderType","rieaya Suite","Sun Aug 24 10:24:35 EEST 2025","passed","Sun Aug 24 10:24:35 EEST 2025","QueryTestOfOrders","test","QueryTestOfOrders","testGetAllOrderServicesWithOrderType"
"","340","testGetAllOrderServicesWithOrderStatus","rieaya Suite","Sun Aug 24 10:24:41 EEST 2025","passed","Sun Aug 24 10:24:41 EEST 2025","QueryTestOfOrders","test","QueryTestOfOrders","testGetAllOrderServicesWithOrderStatus"
"","431","testGetDiscountsByOrderBy2","rieaya Suite","Sun Aug 24 10:23:13 EEST 2025","passed","Sun Aug 24 10:23:13 EEST 2025","DiscountOrAdditions","test","DiscountOrAdditions","testGetDiscountsByOrderBy2"
"","281","testUpdatePrivilegeTest","rieaya Suite","Sun Aug 24 10:24:22 EEST 2025","passed","Sun Aug 24 10:24:22 EEST 2025","Priviledge","test","Priviledge","testUpdatePrivilegeTest"
"","452","testGetAllDiscounts","rieaya Suite","Sun Aug 24 10:23:04 EEST 2025","passed","Sun Aug 24 10:23:05 EEST 2025","DiscountAddingRequests","test","DiscountAddingRequests","testGetAllDiscounts"
"","367","testGetTaxRates","rieaya Suite","Sun Aug 24 10:24:11 EEST 2025","passed","Sun Aug 24 10:24:11 EEST 2025","NewOrderService","test","NewOrderService","testGetTaxRates"
"","272","testGetSpecificPermission","rieaya Suite","Sun Aug 24 10:24:20 EEST 2025","failed","Sun Aug 24 10:24:20 EEST 2025","Permisions","test","Permisions","testGetSpecificPermission"
"","295","testGetAllOrderServicesWithRankId","rieaya Suite","Sun Aug 24 09:26:38 EEST 2025","passed","Sun Aug 24 09:26:38 EEST 2025","QueryTestOfOrders","test","QueryTestOfOrders","testGetAllOrderServicesWithRankId"
"","443","testCreatePackage","rieaya Suite","Sun Aug 24 10:24:16 EEST 2025","passed","Sun Aug 24 10:24:16 EEST 2025","NewPackageTest","test","NewPackageTest","testCreatePackage"
"","311","testDeleteSpecificCollectionAddingRequest","rieaya Suite","Sun Aug 24 10:22:54 EEST 2025","passed","Sun Aug 24 10:22:55 EEST 2025","AddingTests","test","AddingTests","testDeleteSpecificCollectionAddingRequest"
"","674","testAddRequest","rieaya Suite","Sun Aug 24 10:23:03 EEST 2025","passed","Sun Aug 24 10:23:03 EEST 2025","DiscountAddingRequests","test","DiscountAddingRequests","testAddRequest"
"","294","testUpdateRoleTest","rieaya Suite","Sun Aug 24 10:24:24 EEST 2025","failed","Sun Aug 24 10:24:24 EEST 2025","Roles","test","Roles","testUpdateRoleTest"
"","331","testGetSpecificCollectionPoint","rieaya Suite","Sun Aug 24 10:23:15 EEST 2025","passed","Sun Aug 24 10:23:16 EEST 2025","CollectionsPointTest","test","CollectionsPointTest","testGetSpecificCollectionPoint"
"","440","testGetAllEmployees","rieaya Suite","Sun Aug 24 10:23:18 EEST 2025","passed","Sun Aug 24 10:23:18 EEST 2025","EmployeeTests","test","EmployeeTests","testGetAllEmployees"
"","397","testGetDiscountsByRanksId","rieaya Suite","Sun Aug 24 10:23:08 EEST 2025","passed","Sun Aug 24 10:23:08 EEST 2025","DiscountOrAdditions","test","DiscountOrAdditions","testGetDiscountsByRanksId"
"","303","testgetLaundryDashboard","rieaya Suite","Sun Aug 24 10:23:32 EEST 2025","passed","Sun Aug 24 10:23:33 EEST 2025","LuadryManagerDashboard","test","LuadryManagerDashboard","testgetLaundryDashboard"
"","886","testUpdateRule","rieaya Suite","Sun Aug 24 10:24:05 EEST 2025","passed","Sun Aug 24 10:24:06 EEST 2025","OrderRules","test","OrderRules","testUpdateRule"
"","345","testGetSpecificEmployee","rieaya Suite","Sun Aug 24 10:23:18 EEST 2025","passed","Sun Aug 24 10:23:19 EEST 2025","EmployeeTests","test","EmployeeTests","testGetSpecificEmployee"
"","326","testGetDiscountsByOrderBy2","rieaya Suite","Sun Aug 24 10:23:14 EEST 2025","passed","Sun Aug 24 10:23:14 EEST 2025","DiscountOrAdditions","test","DiscountOrAdditions","testGetDiscountsByOrderBy2"
"","427","testGetSpecificPackage","rieaya Suite","Sun Aug 24 10:24:17 EEST 2025","passed","Sun Aug 24 10:24:17 EEST 2025","NewPackageTest","test","NewPackageTest","testGetSpecificPackage"
